Dependency Taxonomy,Configuration Parameter A,Configuration Parameter B,Class,Function
Control Dependency,yarn.log-aggregation-enable,yarn.log-aggregation.retain-seconds,org.apache.hadoop.yarn.logaggregation.AggregatedLogDeletionService,<org.apache.hadoop.yarn.logaggregation.AggregatedLogDeletionService: void scheduleLogDeletionTask()>
Control Dependency,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.webapp.address,org.apache.hadoop.yarn.webapp.util.WebAppUtils,"<org.apache.hadoop.yarn.webapp.util.WebAppUtils: java.lang.String getRMWebAppURLWithoutScheme(org.apache.hadoop.conf.Configuration,boolean)>"
Control Dependency,yarn.scheduler.configuration.leveldb-store.path,yarn.scheduler.configuration.store.class,,*
Control Dependency,yarn.resourcemanager.recovery.enabled,yarn.resourcemanager.work-preserving-recovery.enabled,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager$RMActiveServices,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager$RMActiveServices: void serviceInit(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.runtime.linux.docker.default-container-network,yarn.nodemanager.runtime.linux.docker.userremapping-gid-threshold,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime,<org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime: void initialize(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.webapp.ui2.enable,yarn.webapp.ui2.war-file-path,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager: void startWepApp()>
Control Dependency,yarn.nodemanager.runtime.linux.docker.allowed-container-networks,yarn.nodemanager.runtime.linux.docker.capabilities,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime,<org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime: java.util.Set getDockerCapabilitiesFromConf()>
Control Dependency,yarn.resourcemanager.reservation-system.class,yarn.resourcemanager.reservation-system.enable,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager: org.apache.hadoop.yarn.server.resourcemanager.reservation.ReservationSystem createReservationSystem()>
Control Dependency,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.zk-state-store.root-node.acl,org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore,<org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore: void initInternal(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.health-checker.interval-ms,yarn.nodemanager.health-checker.script.path,org.apache.hadoop.yarn.server.nodemanager.NodeManager,<org.apache.hadoop.yarn.server.nodemanager.NodeManager: org.apache.hadoop.util.NodeHealthScriptRunner getNodeHealthScriptRunner(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.ha.id,org.apache.hadoop.yarn.client.util.YarnClientUtils,<org.apache.hadoop.yarn.client.util.YarnClientUtils: org.apache.hadoop.yarn.conf.YarnConfiguration getYarnConfWithRmHaId(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.ha.curator-leader-elector.enabled,yarn.resourcemanager.zk-state-store.root-node.acl,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager: org.apache.hadoop.util.curator.ZKCuratorManager createAndStartZKManager(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.address,yarn.resourcemanager.principal,org.apache.hadoop.yarn.client.util.YarnClientUtils,"<org.apache.hadoop.yarn.client.util.YarnClientUtils: java.lang.String getRmPrincipal(java.lang.String,org.apache.hadoop.conf.Configuration)>"
Control Dependency,yarn.resourcemanager.ha.rm-ids,yarn.web-proxy.address,org.apache.hadoop.yarn.util.RMHAUtils,<org.apache.hadoop.yarn.util.RMHAUtils: java.util.List getRMHAWebappAddresses(org.apache.hadoop.yarn.conf.YarnConfiguration)>
Control Dependency,yarn.resourcemanager.webapp.rest-csrf.,yarn.resourcemanager.webapp.rest-csrf.enabled,org.apache.hadoop.yarn.server.webapp.AppBlock,<org.apache.hadoop.yarn.server.webapp.AppBlock: java.lang.String getCSRFHeaderString(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.node-labels.configuration-type,yarn.resourcemanager.node-labels.provider,,*
Control Dependency,yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,,*
Control Dependency,yarn.resourcemanager.ha.id,yarn.resourcemanager.ha.rm-ids,org.apache.hadoop.yarn.conf.HAUtil,<org.apache.hadoop.yarn.conf.HAUtil: java.lang.String getRMHAId(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.runtime.linux.docker.default-container-network,yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime,<org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime: void initialize(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.ha.automatic-failover.embedded,yarn.resourcemanager.ha.automatic-failover.enabled,org.apache.hadoop.yarn.conf.HAUtil,<org.apache.hadoop.yarn.conf.HAUtil: boolean isAutomaticFailoverEmbedded(org.apache.hadoop.conf.Configuration)>
Control Dependency,isReconfigEnabled,quorumVerifier,org.apache.zookeeper.server.quorum.QuorumPeerConfig,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
Control Dependency,electiontype,cnxtimeout,org.apache.zookeeper.server.quorum.QuorumPeer,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.QuorumCnxManager createCnxnManager()>
Control Dependency,zookeeper.emulate353TTLNodes,zookeeper.extendedTypesEnabled,org.apache.zookeeper.server.EphemeralType,<org.apache.zookeeper.server.EphemeralType: org.apache.zookeeper.server.EphemeralType get(long)>
Control Dependency,getLastSeenQuorumVerifier,getQuorumVerifier,org.apache.zookeeper.server.quorum.Leader,<org.apache.zookeeper.server.quorum.Leader: org.apache.zookeeper.server.quorum.Leader$Proposal propose(org.apache.zookeeper.server.Request)>
Control Dependency,getQuorumVerifier,isReconfigEnabled,org.apache.zookeeper.server.quorum.Learner,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Control Dependency,getQuorumVerifier,getServerId,org.apache.zookeeper.server.quorum.Leader,"<org.apache.zookeeper.server.quorum.Leader: long getDesignatedLeader(org.apache.zookeeper.server.quorum.Leader$Proposal,long)>"
Control Dependency,dfs.client.domain.socket.data.traffic,dfs.client.read.shortcircuit,,*
Control Dependency,dfs.web.authentication.filter,dfs.webhdfs.enabled,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: void initWebHdfs(org.apache.hadoop.conf.Configuration,java.lang.String,org.apache.hadoop.http.HttpServer2,java.lang.String)>"
Control Dependency,dfs.datatransfer.client.variablewhitelist.cache.secs,dfs.datatransfer.client.variablewhitelist.enable,org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver,<org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.webhdfs.acl.provider.permission.pattern,dfs.webhdfs.enabled,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: void initWebHdfs(org.apache.hadoop.conf.Configuration,java.lang.String,org.apache.hadoop.http.HttpServer2,java.lang.String)>"
Control Dependency,dfs.block.replicator.classname,dfs.namenode.available-space-block-placement-policy.balanced-space-preference-fraction,,*
Control Dependency,dfs.web.authentication.simple.anonymous.allowed,dfs.webhdfs.enabled,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: java.util.Map getAuthFilterParams(org.apache.hadoop.conf.Configuration,java.lang.String)>"
Control Dependency,dfs.federation.router.default.nameserviceId,dfs.nameservices,org.apache.hadoop.hdfs.DFSUtilClient,<org.apache.hadoop.hdfs.DFSUtilClient: java.util.Collection getNameServiceIds(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.image.compress,dfs.image.compression.codec,org.apache.hadoop.hdfs.server.namenode.FSImageCompression,<org.apache.hadoop.hdfs.server.namenode.FSImageCompression: org.apache.hadoop.hdfs.server.namenode.FSImageCompression createCompression(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.namenode.lifeline.handler.ratio,dfs.namenode.lifeline.rpc-address,*,*
Control Dependency,dfs.namenode.edits.dir,dfs.namenode.edits.dir.required,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,<org.apache.hadoop.hdfs.server.namenode.FSNamesystem: java.util.Collection getRequiredNamespaceEditsDirs(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.federation.router.heartbeat.enable,dfs.federation.router.monitor.localnamenode.enable,org.apache.hadoop.hdfs.server.federation.router.Router,<org.apache.hadoop.hdfs.server.federation.router.Router: java.util.Collection createNamenodeHeartbeatServices()>
Control Dependency,dfs.block.access.token.enable,dfs.encrypt.data.transfer.algorithm,org.apache.hadoop.hdfs.server.blockmanagement.BlockManager,<org.apache.hadoop.hdfs.server.blockmanagement.BlockManager: org.apache.hadoop.hdfs.security.token.block.BlockTokenSecretManager createBlockTokenSecretManager(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.balancer.address,dfs.balancer.keytab.enabled,org.apache.hadoop.hdfs.server.balancer.Balancer,<org.apache.hadoop.hdfs.server.balancer.Balancer: void checkKeytabAndInit(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.client.failover.max.attempts,dfs.client.test.drop.namenode.response.number,org.apache.hadoop.hdfs.NameNodeProxiesClient,"<org.apache.hadoop.hdfs.NameNodeProxiesClient: org.apache.hadoop.hdfs.NameNodeProxiesClient$ProxyAndInfo createProxyWithLossyRetryHandler(org.apache.hadoop.conf.Configuration,java.net.URI,java.lang.Class,int,java.util.concurrent.atomic.AtomicBoolean)>"
Control Dependency,dfs.namenode.max.op.size,dfs.namenode.startup,org.apache.hadoop.hdfs.server.namenode.FSImage,"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean loadFSImage(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>"
Control Dependency,dfs.ha.namenode.id,dfs.nameservices,org.apache.hadoop.hdfs.DFSUtil,"<org.apache.hadoop.hdfs.DFSUtil: java.lang.String getNameServiceId(org.apache.hadoop.conf.Configuration,java.lang.String)>"
Control Dependency,dfs.web.authentication.kerberos.principal,dfs.webhdfs.enabled,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: java.util.Map getAuthFilterParams(org.apache.hadoop.conf.Configuration,java.lang.String)>"
Control Dependency,dfs.datatransfer.client.variablewhitelist.enable,dfs.datatransfer.client.variablewhitelist.file,org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver,<org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.access.token.provider,org.apache.hadoop.hdfs.DFSUtil,"<org.apache.hadoop.hdfs.DFSUtil: java.net.URI getInfoServer(java.net.InetSocketAddress,org.apache.hadoop.conf.Configuration,java.lang.String)>"
Control Dependency,hadoop.security.groups.cache.background.reload.threads,hadoop.security.groups.cache.background.reload,org.apache.zookeeper.ClientCnxn$SendThread,"<org.apache.zookeeper.ClientCnxn$SendThread: void onConnected(int,long,byte[],boolean)>"
Control Dependency,dfs.datatransfer.server.variablewhitelist.enable,dfs.datatransfer.server.variablewhitelist.file,org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver,<org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.namenode.keytab.file,dfs.webhdfs.enabled,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: java.util.Map getAuthFilterParams(org.apache.hadoop.conf.Configuration,java.lang.String)>"
Control Dependency,dfs.namenode.checkpoint.period,dfs.namenode.startup,org.apache.hadoop.hdfs.server.namenode.FSImage,"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean needsResaveBasedOnStaleCheckpoint(java.io.File,long)>"
Control Dependency,dfs.webhdfs.enabled,dfs.webhdfs.rest-csrf.enabled,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: void initWebHdfs(org.apache.hadoop.conf.Configuration,java.lang.String,org.apache.hadoop.http.HttpServer2,java.lang.String)>"
Control Dependency,dfs.webhdfs.rest-csrf.,dfs.webhdfs.rest-csrf.enabled,org.apache.hadoop.hdfs.server.datanode.web.DatanodeHttpServer,<org.apache.hadoop.hdfs.server.datanode.web.DatanodeHttpServer: org.apache.hadoop.security.http.RestCsrfPreventionFilter createRestCsrfPreventionFilter(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.client.id,*,*
Control Dependency,dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,dfs.datanode.fsdataset.volume.choosing.policy,*,*
Control Dependency,dfs.datatransfer.server.variablewhitelist.cache.secs,dfs.datatransfer.server.variablewhitelist.enable,org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver,<org.apache.hadoop.hdfs.protocol.datatransfer.WhitelistBasedTrustedChannelResolver: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.block.access.key.update.interval,dfs.block.access.token.enable,org.apache.hadoop.hdfs.server.blockmanagement.BlockManager,<org.apache.hadoop.hdfs.server.blockmanagement.BlockManager: org.apache.hadoop.hdfs.security.token.block.BlockTokenSecretManager createBlockTokenSecretManager(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.namenode.kerberos.principal,dfs.namenode.rpc-address,org.apache.hadoop.hdfs.server.namenode.ImageServlet,"<org.apache.hadoop.hdfs.server.namenode.ImageServlet: boolean isValidRequestor(javax.servlet.ServletContext,java.lang.String,org.apache.hadoop.conf.Configuration)>"
Control Dependency,dfs.namenode.startup,dfs.reformat.disabled,org.apache.hadoop.hdfs.server.namenode.NameNode,"<org.apache.hadoop.hdfs.server.namenode.NameNode: boolean format(org.apache.hadoop.conf.Configuration,boolean,boolean)>"
Control Dependency,dfs.block.access.token.enable,dfs.namenode.rpc-address,org.apache.hadoop.hdfs.DFSUtil,<org.apache.hadoop.hdfs.DFSUtil: java.lang.String getNamenodeNameServiceId(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.namenode.shared.edits.dir,dfs.namenode.startup,org.apache.hadoop.hdfs.server.namenode.NameNode,"<org.apache.hadoop.hdfs.server.namenode.NameNode: boolean initializeSharedEdits(org.apache.hadoop.conf.Configuration,boolean,boolean)>"
Control Dependency,dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,dfs.datanode.fsdataset.volume.choosing.policy,*,*
Control Dependency,dfs.ha.automatic-failover.enabled,dfs.ha.zkfc.port,org.apache.hadoop.hdfs.tools.DFSZKFailoverController,<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: int getZkfcPort(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.namenode.checkpoint.txns,dfs.namenode.startup,org.apache.hadoop.hdfs.server.namenode.FSImage,"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean needsResaveBasedOnStaleCheckpoint(java.io.File,long)>"
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.refresh.url,*,*
Control Dependency,dfs.webhdfs.enabled,dfs.webhdfs.user.provider.user.pattern,org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer,"<org.apache.hadoop.hdfs.server.namenode.NameNodeHttpServer: void initWebHdfs(org.apache.hadoop.conf.Configuration,java.lang.String,org.apache.hadoop.http.HttpServer2,java.lang.String)>"
Control Dependency,dfs.federation.router.heartbeat.enable,dfs.federation.router.monitor.namenode,org.apache.hadoop.hdfs.server.federation.router.Router,<org.apache.hadoop.hdfs.server.federation.router.Router: java.util.Collection createNamenodeHeartbeatServices()>
Control Dependency,dfs.client.failover.sleep.max.millis,dfs.client.test.drop.namenode.response.number,org.apache.hadoop.hdfs.NameNodeProxiesClient,"<org.apache.hadoop.hdfs.NameNodeProxiesClient: org.apache.hadoop.hdfs.NameNodeProxiesClient$ProxyAndInfo createProxyWithLossyRetryHandler(org.apache.hadoop.conf.Configuration,java.net.URI,java.lang.Class,int,java.util.concurrent.atomic.AtomicBoolean)>"
Control Dependency,dfs.block.access.token.enable,dfs.block.access.token.lifetime,org.apache.hadoop.hdfs.server.blockmanagement.BlockManager,<org.apache.hadoop.hdfs.server.blockmanagement.BlockManager: org.apache.hadoop.hdfs.security.token.block.BlockTokenSecretManager createBlockTokenSecretManager(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.client.failover.sleep.base.millis,dfs.client.test.drop.namenode.response.number,org.apache.hadoop.hdfs.NameNodeProxiesClient,"<org.apache.hadoop.hdfs.NameNodeProxiesClient: org.apache.hadoop.hdfs.NameNodeProxiesClient$ProxyAndInfo createProxyWithLossyRetryHandler(org.apache.hadoop.conf.Configuration,java.net.URI,java.lang.Class,int,java.util.concurrent.atomic.AtomicBoolean)>"
Value Relationship Dependency,dfs.cachereport.intervalMsec,dfs.datanode.max.locked.memory,org.apache.hadoop.hdfs.server.datanode.BPServiceActor,<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: DatanodeCommand cacheReport()>
Value Relationship Dependency,hbase.hstore.compaction.min.size,hbase.hstore.compaction.ratio,org.apache.hadoop.hbase.regionserver.compactions.RatioBasedCompactionPolicy,"<org.apache.hadoop.hbase.regionserver.compactions.RatioBasedCompactionPolicy: java.util.ArrayList applyCompactionPolicy(java.util.ArrayList,boolean,boolean)>"
Value Relationship Dependency,hbase.hregion.max.filesize,hbase.hregion.memstore.flush.size,org.apache.hadoop.hbase.regionserver.IncreasingToUpperBoundRegionSplitPolicy,<org.apache.hadoop.hbase.regionserver.IncreasingToUpperBoundRegionSplitPolicy: long getSizeToCheck(int)>
Value Relationship Dependency,hbase.regionserver.hostname,hbase.regionserver.hostname.disable.master.reversedns,org.apache.hadoop.hbase.regionserver.HRegionServer,<org.apache.hadoop.hbase.regionserver.HRegionServer: void handleReportForDutyResponse(org.apache.hadoop.hbase.shaded.protobuf.generated.RegionServerStatusProtos$RegionServerStartupResponse)>
Value Relationship Dependency,hbase.client.scanner.timeout.period,hbase.rpc.timeout,org.apache.hadoop.hbase.regionserver.RSRpcServices,"<org.apache.hadoop.hbase.regionserver.RSRpcServices: long getTimeLimit(org.apache.hadoop.hbase.ipc.HBaseRpcController,boolean)>"
Value Relationship Dependency,hbase.hregion.memstore.flush.size,hbase.hregion.percolumnfamilyflush.size.lower.bound.min,org.apache.hadoop.hbase.regionserver.FlushLargeStoresPolicy,<org.apache.hadoop.hbase.regionserver.FlushLargeStoresPolicy: void setFlushSizeLowerBounds(org.apache.hadoop.hbase.regionserver.HRegion)>
Value Relationship Dependency,hbase.client.pause,hbase.client.pause.cqtbe,org.apache.hadoop.hbase.client.AsyncProcess,"<org.apache.hadoop.hbase.client.AsyncProcess: void <init>(org.apache.hadoop.hbase.client.ClusterConnection,org.apache.hadoop.conf.Configuration,org.apache.hadoop.hbase.client.RpcRetryingCallerFactory,org.apache.hadoop.hbase.ipc.RpcControllerFactory)>"
Value Relationship Dependency,spark.executor.heartbeatInterval,spark.network.timeout,org.apache.spark.serializer.KryoSerializer,*
Value Relationship Dependency,spark.r.backendConnectionTimeout,spark.r.heartBeatInterval,org.apache.spark.api.r.RBackendHandler,"<org.apache.spark.api.r.RBackendHandler: void channelRead0(io.netty.channel.ChannelHandlerContext,byte[])>"
Value Relationship Dependency,spark.rpc.message.maxSize,spark.shuffle.mapOutput.minSizeForBroadcast,org.apache.spark.MapOutputTrackerMaster,"<org.apache.spark.MapOutputTrackerMaster: void <init>(org.apache.spark.SparkConf,org.apache.spark.broadcast.BroadcastManager,boolean)>"
Value Relationship Dependency,spark.rpc.message.maxSize,spark.task.maxDirectResultSize,org.apache.spark.executor.Executor,"<org.apache.spark.executor.Executor: void <init>(java.lang.String,java.lang.String,org.apache.spark.SparkEnv,scala.collection.Seq,boolean,java.lang.Thread$UncaughtExceptionHandler)>"
Value Relationship Dependency,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,org.apache.spark.serializer.KryoSerializer,*
Value Relationship Dependency,spark.memory.offHeap.enabled,spark.memory.offHeap.size,org.apache.spark.memory.MemoryManager,"<org.apache.spark.memory.MemoryManager: void <init>(org.apache.spark.SparkConf,int,long,long)>"
Value Relationship Dependency,alluxio.master.worker.threads.max,alluxio.master.worker.threads.min,alluxio.master.AlluxioMasterProcess,<alluxio.master.AlluxioMasterProcess: void <init>(alluxio.master.journal.JournalSystem)>
Value Relationship Dependency,alluxio.master.worker.connect.wait.time,alluxio.user.rpc.retry.max.sleep,alluxio.conf.InstancedConfiguration,<alluxio.conf.InstancedConfiguration: void checkTimeouts()>
Value Relationship Dependency,alluxio.underfs.s3.threads.max,alluxio.underfs.s3.upload.threads.max,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.s3a.S3AUnderFileSystem createInstance(alluxio.AlluxioURI,alluxio.underfs.UnderFileSystemConfiguration)>"
Value Relationship Dependency,alluxio.worker.data.server.domain.socket.address,alluxio.worker.data.server.domain.socket.as.uuid,alluxio.worker.AlluxioWorkerProcess,<alluxio.worker.AlluxioWorkerProcess: void <init>(alluxio.wire.TieredIdentity)>
Value Relationship Dependency,alluxio.underfs.s3.admin.threads.max,alluxio.underfs.s3.threads.max,alluxio.underfs.s3a.S3AUnderFileSystem,"<alluxio.underfs.s3a.S3AUnderFileSystem: alluxio.underfs.s3a.S3AUnderFileSystem createInstance(alluxio.AlluxioURI,alluxio.underfs.UnderFileSystemConfiguration)>"
Value Relationship Dependency,mapreduce.job.speculative.minimum-allowed-tasks,mapreduce.job.speculative.speculative-cap-total-tasks,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,<org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator: int maybeScheduleASpeculation(org.apache.hadoop.mapreduce.v2.api.records.TaskType)>
Value Relationship Dependency,mapreduce.job.end-notification.max.attempts,mapreduce.job.end-notification.retry.attempts,org.apache.hadoop.mapreduce.v2.app.JobEndNotifier,<org.apache.hadoop.mapreduce.v2.app.JobEndNotifier: void setConf(org.apache.hadoop.conf.Configuration)>
Value Relationship Dependency,mapreduce.jobhistory.recovery.enable,mapreduce.jobhistory.recovery.store.class,org.apache.hadoop.mapreduce.v2.hs.HistoryServerStateStoreServiceFactory,*
Value Relationship Dependency,mapreduce.job.end-notification.max.retry.interval,mapreduce.job.end-notification.retry.interval,org.apache.hadoop.mapreduce.v2.app.JobEndNotifier,<org.apache.hadoop.mapreduce.v2.app.JobEndNotifier: void setConf(org.apache.hadoop.conf.Configuration)>
Value Relationship Dependency,mapreduce.application.classpath,mapreduce.application.framework.path,org.apache.hadoop.mapreduce.v2.util.MRApps,"<org.apache.hadoop.mapreduce.v2.util.MRApps: void setMRFrameworkClasspath(java.util.Map,org.apache.hadoop.conf.Configuration)>"
Value Relationship Dependency,yarn.am.liveness-monitor.expiry-interval-ms,yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,org.apache.hadoop.yarn.server.resourcemanager.security.AMRMTokenSecretManager,"<org.apache.hadoop.yarn.server.resourcemanager.security.AMRMTokenSecretManager: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.yarn.server.resourcemanager.RMContext)>"
Value Relationship Dependency,hadoop.registry.zk.retry.ceiling.ms,hadoop.registry.zk.retry.interval.ms,org.apache.curator.retry.BoundedExponentialBackoffRetry,"<org.apache.curator.retry.BoundedExponentialBackoffRetry: int getSleepTimeMs(int,long)>"
Value Relationship Dependency,dfs.datanode.lifeline.interval.seconds,dfs.heartbeat.interval,org.apache.hadoop.hdfs.server.datanode.DNConf,<org.apache.hadoop.hdfs.server.datanode.DNConf: void <init>(org.apache.hadoop.conf.Configurable)>
Value Relationship Dependency,yarn.resourcemanager.max-completed-applications,yarn.resourcemanager.state-store.max-completed-applications,org.apache.hadoop.yarn.server.resourcemanager.RMAppManager,"<org.apache.hadoop.yarn.server.resourcemanager.RMAppManager: void <init>(org.apache.hadoop.yarn.server.resourcemanager.RMContext,org.apache.hadoop.yarn.server.resourcemanager.scheduler.YarnScheduler,org.apache.hadoop.yarn.server.resourcemanager.ApplicationMasterService,org.apache.hadoop.yarn.server.security.ApplicationACLsManager,org.apache.hadoop.conf.Configuration)>"
Value Relationship Dependency,yarn.nodemanager.resourcemanager.connect.max-wait.ms,yarn.nodemanager.resourcemanager.connect.retry-interval.ms,org.apache.hadoop.yarn.client.RMProxy,"<org.apache.hadoop.yarn.client.RMProxy: org.apache.hadoop.io.retry.RetryPolicy createRetryPolicy(org.apache.hadoop.conf.Configuration,long,long,boolean)>"
Value Relationship Dependency,dfs.namenode.edits.dir,dfs.namenode.edits.dir.required,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,<org.apache.hadoop.hdfs.server.namenode.FSNamesystem: void checkConfiguration(org.apache.hadoop.conf.Configuration)>
Value Relationship Dependency,fs.s3a.server-side-encryption-algorithm,fs.s3a.server-side-encryption-key,org.apache.hadoop.fs.s3a.S3AUtils,<org.apache.hadoop.fs.s3a.S3AUtils: org.apache.hadoop.fs.s3a.S3AEncryptionMethods getEncryptionAlgorithm(org.apache.hadoop.conf.Configuration)>
Value Relationship Dependency,dfs.namenode.stale.datanode.interval,dfs.namenode.stale.datanode.minimum.interval,org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager,"<org.apache.hadoop.hdfs.server.blockmanagement.DatanodeManager: long getStaleIntervalFromConf(org.apache.hadoop.conf.Configuration,long)>"
Value Relationship Dependency,fs.trash.checkpoint.interval,fs.trash.interval,org.apache.hadoop.fs.TrashPolicyDefault$Emptier,"<org.apache.hadoop.fs.TrashPolicyDefault$Emptier: void <init>(org.apache.hadoop.fs.TrashPolicyDefault,org.apache.hadoop.conf.Configuration,long)>"
Value Relationship Dependency,hadoop.security.kms.client.failover.sleep.base.millis,hadoop.security.kms.client.failover.sleep.max.millis,org.apache.hadoop.io.retry.RetryPolicies,"<org.apache.hadoop.io.retry.RetryPolicies: long calculateExponentialTime(long,int,long)>"
Value Relationship Dependency,fs.s3a.proxy.host,fs.s3a.proxy.port,org.apache.hadoop.fs.s3a.DefaultS3ClientFactory,"<org.apache.hadoop.fs.s3a.DefaultS3ClientFactory: void initProxySupport(org.apache.hadoop.conf.Configuration,com.amazonaws.ClientConfiguration)>"
Value Relationship Dependency,io.bytes.per.checksum,io.file.buffer.size,org.apache.hadoop.fs.ChecksumFs,"<org.apache.hadoop.fs.ChecksumFs: int getSumBufferSize(int,int,org.apache.hadoop.fs.Path)>"
