Dependency Taxonomy,Dependency,Checking Time,Violation handling,Impact of violations,Feedback,Configuration Parameter A,ComponentA,"Configuration Parameter B( ,C and more)",ComponentB,Related description
Default Value Dependency ,A's default value is B,no check,N/A,Usability,None,spark.rpc.lookupTimeout,Spark.xml,spark.network.timeout,Spark.xml,  This config will be used in place of spark.rpc.lookupTimeout if they are not configured. 
Default Value Dependency ,A's default value is B * 2,no check,N/A,Usability,None,minSessionTimeout,ZooKeeper.xml,tickTime,ZooKeeper.xml,Defaults to 2 times the tickTime.
Default Value Dependency ,A's default value is B * 20,no check,N/A,Usability,None,maxSessionTimeout,ZooKeeper.xml,tickTime,ZooKeeper.xml,Defaults to 20 times the tickTime.
Default Value Dependency ,A's default value is B,no check,N/A,Usability,None,hbase.hstore.compaction.min,hbase-default.xml,hbase.hstore.compactionThreshold,hbase-default.xml,"In previous versions of HBase, the parameter hbase.hstore.compaction.min was named hbase.hstore.compactionThreshold."
Default Value Dependency ,A's Default Value is B * 0.1,no check,N/A,Usability,None,spark.executor.memoryOverhead,Spark.xml,spark.executor.memory,Spark.xml,executorMemory * 0.10
Default Value Dependency ,A's Default Value is B,no check,N/A,Usability,None,spark.driver.bindAddress,Spark.xml,spark.driver.host,Spark.xml,(value of spark.driver.host)
Default Value Dependency ,A's Default Value is B * 0.1,no check,N/A,Usability,None,spark.driver.memoryOverhead,Spark.xml,spark.driver.memory,Spark.xml,driverMemory * 0.10
Default Value Dependency ,A’s default value is B * C * 2,no check,N/A,Usability,None,hbase.regionserver.thread.compaction.throttle,hbase-default.xml, hbase.hstore.compaction.max,hbase-default.xml,Default: 2 x hbase.hstore.compaction.max x hbase.hregion.memstore.flush.size (which defaults to 128MB).
Default Value Dependency ,A's default value is B,no check,N/A,Usability,None,dfs.namenode.checkpoint.edits.dir,hdfs-default.xml,dfs.namenode.checkpoint.dir,hdfs-default.xml,Default value is same as dfs.namenode.checkpoint.dir 
Default Value Dependency ,A's default value is B,no check,N/A,Usability,None,dfs.namenode.kerberos.internal.spnego.principal,hdfs-default.xml,dfs.web.authentication.kerberos.principal,hdfs-default.xml,In most secure clusters this setting is also used to specify the values for dfs.namenode.kerberos.internal.spnego.principal and dfs.journalnode.kerberos.internal.spnego.principal.
Default Value Dependency ,A’s default value is  B,no check,N/A,Usability,None,yarn.resourcemanager.state-store.max-completed-applications,yarn-default.xml,yarn.resourcemanager.max-completed-applications,yarn-default.xml,"The maximum number of completed applications RM state store keeps, less than or equals to ${yarn.resourcemanager.max-completed-applications}. By default, it equals to ${yarn.resourcemanager.max-completed-applications}. "
Default Value Dependency ,A’s default value is affected by B,no check,N/A,Usability,None,alluxio.metrics.conf.file,Alluxio.xml,alluxio.conf.dir,Alluxio.xml,The file path of the metrics system configuration file. By default it is `metrics.properties` in the `conf` directory.
Behavioral Dependency,the value of A and B are used together to compute to formula,no check,N/A,Usability,None,spark.storage.safetyFraction,Spark.xml,spark.storage.memoryFraction,Spark.xml,Fraction of spark.storage.memoryFraction to use for unrolling blocks in memory.
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,yarn.app.mapreduce.am.container.log.limit.kb,mapred-default.xml,yarn.app.mapreduce.am.container.log.backups,mapred-default.xml,CRLA is enabled for the ApplicationMaster when both yarn.app.mapreduce.am.container.log.limit.kb and yarn.app.mapreduce.am.container.log.backups are greater than zero.
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,dfs.namenode.edit.log.autoroll.multiplier.threshold,hdfs-default.xml,dfs.namenode.checkpoint.txns,hdfs-default.xml,The actual threshold (in number of edits) is determined by multiplying this value by dfs.namenode.checkpoint.txns.
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,yarn.app.mapreduce.shuffle.log.backups,mapred-default.xml,yarn.app.mapreduce.shuffle.log.limit.kb,mapred-default.xml,If yarn.app.mapreduce.shuffle.log.limit.kb and yarn.app.mapreduce.shuffle.log.backups are greater than zero then a ContainerRollngLogAppender is used instead of ContainerLogAppender for syslog.shuffle. 
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,dfs.namenode.avoid.write.stale.datanode,hdfs-default.xml,dfs.namenode.write.stale.datanode.ratio,hdfs-default.xml,Writes will avoid using stale datanodes unless more than a configured ratio (dfs.namenode.write.stale.datanode.ratio) of datanodes are marked as  stale.
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,dfs.namenode.stale.datanode.interval,hdfs-default.xml,dfs.namenode.avoid.read.stale.datanode,hdfs-default.xml,It can be conditionally avoided for reads (see dfs.namenode.avoid.read.stale.datanode)
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,hbase.zookeeper.quorum,hbase-default.xml,hbase.zookeeper.property.clientPort,hbase-default.xml,"Client-side, we will take this list of ensemble members and put it together with the hbase.zookeeper.property.clientPort config. and pass it into zookeeper constructor as the connectString parameter."
Behavioral Dependency,A and B work together.,no check,N/A,Usability,None,fs.ftp.host,core-default.xml,fs.ftp.host.port,core-default.xml,FTP filesystem connects to fs.ftp.host on this port
Behavioral Dependency,A and B work together.,no check,N/A,Usability,None,hbase.hregion.majorcompaction,hbase-default.xml,hbase.hregion.majorcompaction.jitter,hbase-default.xml,A multiplier applied to hbase.hregion.majorcompaction to cause compaction to occur a given amount of time either side of hbase.hregion.majorcompaction.
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,yarn.nodemanager.remote-app-log-dir-suffix,yarn-default.xml,yarn.nodemanager.remote-app-log-dir,yarn-default.xml, The remote log dir will be created at  {yarn.nodemanager.remote-app-log-dir}/${user}/{thisParam}
Behavioral Dependency,A and B work together,no check,N/A,Usability,None,yarn.timeline-service.enabled,yarn-default.xml,yarn.timeline-service.version,yarn-default.xml,"Indicate what is the current version of the running timeline service. For example, if ""yarn.timeline-service.version"" is 1.5, and ""yarn.timeline-service.enabled"" is true, it means the cluster will and should bring up the timeline service"
